2θ (°),I (count),σ (count),,
2.000,220,14.8,,
2.015,225,15.0,,
2.030,215,14.7,,
2.045,228,15.1,,
2.060,241,15.5,,
2.075,230,15.2,,
2.090,219,14.8,,
2.105,244,15.6,,
2.120,240,15.5,,
2.135,228,15.1,,
2.150,234,15.3,,
2.165,245,15.7,,
2.180,223,14.9,,
2.195,257,16.0,,
2.210,259,16.1,,
2.225,252,15.9,,
2.240,259,16.1,,
2.255,229,15.1,,
2.270,269,16.4,,
2.285,265,16.3,,
2.300,270,16.4,,
2.315,271,16.5,,
2.330,248,15.7,,
2.345,257,16.0,,
2.360,269,16.4,,
2.375,275,16.6,,
2.390,289,17.0,,
2.405,278,16.7,,
2.420,251,15.8,,
2.435,262,16.2,,
2.450,276,16.6,,
2.465,267,16.3,,
2.480,275,16.6,,
2.495,283,16.8,,
2.510,290,17.0,,
2.525,285,16.9,,
2.540,275,16.6,,
2.555,304,17.4,,
2.570,295,17.2,,
2.585,285,16.9,,
2.600,291,17.1,,
2.615,313,17.7,,
2.630,316,17.8,,
2.645,331,18.2,,
2.660,329,18.1,,
2.675,330,18.2,,
2.690,306,17.5,,
2.705,321,17.9,,
2.720,314,17.7,,
2.735,308,17.5,,
2.750,321,17.9,,
2.765,333,18.2,,
2.780,329,18.1,,
2.795,315,17.7,,
2.810,301,17.3,,
2.825,328,18.1,,
2.840,331,18.2,,
2.855,333,18.2,,
2.870,315,17.7,,
2.885,329,18.1,,
2.900,324,18.0,,
2.915,333,18.2,,
2.930,317,17.8,,
2.945,326,18.1,,
2.960,353,18.8,,
2.975,329,18.1,,
2.990,335,18.3,,
3.005,337,18.4,,
3.020,331,18.2,,
3.035,341,18.5,,
3.050,330,18.2,,
3.065,345,18.6,,
3.080,335,18.3,,
3.095,354,18.8,,
3.110,353,18.8,,
3.125,347,18.6,,
3.140,373,19.3,,
3.155,383,19.6,,
3.170,346,18.6,,
3.185,352,18.8,,
3.200,341,18.5,,
3.215,349,18.7,,
3.230,367,19.2,,
3.245,379,19.5,,
3.260,351,18.7,,
3.275,328,18.1,,
3.290,356,18.9,,
3.305,360,19.0,,
3.320,368,19.2,,
3.335,368,19.2,,
3.350,373,19.3,,
3.365,367,19.2,,
3.380,345,18.6,,
3.395,361,19.0,,
3.410,359,18.9,,
3.425,374,19.3,,
3.440,395,19.9,,
3.455,381,19.5,,
3.470,365,19.1,,
3.485,423,20.6,,
3.500,407,20.2,,
3.515,365,19.1,,
3.530,382,19.5,,
3.545,412,20.3,,
3.560,359,18.9,,
3.575,379,19.5,,
3.590,373,19.3,,
3.605,408,20.2,,
3.620,380,19.5,,
3.635,381,19.5,,
3.650,368,19.2,,
3.665,398,19.9,,
3.680,393,19.8,,
3.695,389,19.7,,
3.710,385,19.6,,
3.725,410,20.2,,
3.740,427,20.7,,
3.755,421,20.5,,
3.770,363,19.1,,
3.785,392,19.8,,
3.800,432,20.8,,
3.815,383,19.6,,
3.830,392,19.8,,
3.845,398,19.9,,
3.860,415,20.4,,
3.875,405,20.1,,
3.890,424,20.6,,
3.905,404,20.1,,
3.920,402,20.0,,
3.935,411,20.3,,
3.950,397,19.9,,
3.965,407,20.2,,
3.980,413,20.3,,
3.995,423,20.6,,
4.010,413,20.3,,
4.025,395,19.9,,
4.040,418,20.4,,
4.055,405,20.1,,
4.070,412,20.3,,
4.085,397,19.9,,
4.100,379,19.5,,
4.115,401,20.0,,
4.130,396,19.9,,
4.145,414,20.3,,
4.160,403,20.1,,
4.175,416,20.4,,
4.190,414,20.3,,
4.205,405,20.1,,
4.220,426,20.6,,
4.235,413,20.3,,
4.250,396,19.9,,
4.265,383,19.6,,
4.280,408,20.2,,
4.295,423,20.6,,
4.310,373,19.3,,
4.325,430,20.7,,
4.340,418,20.4,,
4.355,403,20.1,,
4.370,409,20.2,,
4.385,405,20.1,,
4.400,441,21.0,,
4.415,417,20.4,,
4.430,437,20.9,,
4.445,442,21.0,,
4.460,443,21.0,,
4.475,424,20.6,,
4.490,432,20.8,,
4.505,420,20.5,,
4.520,429,20.7,,
4.535,466,21.6,,
4.550,464,21.5,,
4.565,420,20.5,,
4.580,417,20.4,,
4.595,400,20.0,,
4.610,423,20.6,,
4.625,440,21.0,,
4.640,432,20.8,,
4.655,397,19.9,,
4.670,439,21.0,,
4.685,436,20.9,,
4.700,417,20.4,,
4.715,458,21.4,,
4.730,430,20.7,,
4.745,427,20.7,,
4.760,436,20.9,,
4.775,437,20.9,,
4.790,445,21.1,,
4.805,442,21.0,,
4.820,422,20.5,,
4.835,456,21.4,,
4.850,442,21.0,,
4.865,426,20.6,,
4.880,435,20.9,,
4.895,425,20.6,,
4.910,453,21.3,,
4.925,439,21.0,,
4.940,433,20.8,,
4.955,424,20.6,,
4.970,444,21.1,,
4.985,446,21.1,,
5.000,444,21.1,,
5.015,452,21.3,,
5.030,440,21.0,,
5.045,432,20.8,,
5.060,426,20.6,,
5.075,426,20.6,,
5.090,460,21.4,,
5.105,458,21.4,,
5.120,478,21.9,,
5.135,461,21.5,,
5.150,461,21.5,,
5.165,422,20.5,,
5.180,442,21.0,,
5.195,455,21.3,,
5.210,435,20.9,,
5.225,445,21.1,,
5.240,447,21.1,,
5.255,457,21.4,,
5.270,443,21.0,,
5.285,438,20.9,,
5.300,456,21.4,,
5.315,447,21.1,,
5.330,442,21.0,,
5.345,441,21.0,,
5.360,447,21.1,,
5.375,448,21.2,,
5.390,435,20.9,,
5.405,460,21.4,,
5.420,465,21.6,,
5.435,500,22.4,,
5.450,499,22.3,,
5.465,449,21.2,,
5.480,475,21.8,,
5.495,473,21.7,,
5.510,463,21.5,,
5.525,460,21.4,,
5.540,450,21.2,,
5.555,459,21.4,,
5.570,445,21.1,,
5.585,444,21.1,,
5.600,457,21.4,,
5.615,476,21.8,,
5.630,480,21.9,,
5.645,479,21.9,,
5.660,429,20.7,,
5.675,444,21.1,,
5.690,439,21.0,,
5.705,446,21.1,,
5.720,489,22.1,,
5.735,479,21.9,,
5.750,460,21.4,,
5.765,468,21.6,,
5.780,456,21.4,,
5.795,480,21.9,,
5.810,467,21.6,,
5.825,456,21.4,,
5.840,496,22.3,,
5.855,493,22.2,,
5.870,466,21.6,,
5.885,466,21.6,,
5.900,464,21.5,,
5.915,477,21.8,,
5.930,475,21.8,,
5.945,478,21.9,,
5.960,459,21.4,,
5.975,450,21.2,,
5.990,473,21.7,,
6.005,489,22.1,,
6.020,474,21.8,,
6.035,449,21.2,,
6.050,468,21.6,,
6.065,469,21.7,,
6.080,478,21.9,,
6.095,466,21.6,,
6.110,431,20.8,,
6.125,448,21.2,,
6.140,482,22.0,,
6.155,455,21.3,,
6.170,484,22.0,,
6.185,469,21.7,,
6.200,464,21.5,,
6.215,475,21.8,,
6.230,441,21.0,,
6.245,494,22.2,,
6.260,489,22.1,,
6.275,446,21.1,,
6.290,459,21.4,,
6.305,487,22.1,,
6.320,473,21.7,,
6.335,509,22.6,,
6.350,499,22.3,,
6.365,470,21.7,,
6.380,459,21.4,,
6.395,466,21.6,,
6.410,460,21.4,,
6.425,449,21.2,,
6.440,459,21.4,,
6.455,472,21.7,,
6.470,471,21.7,,
6.485,453,21.3,,
6.500,467,21.6,,
6.515,461,21.5,,
6.530,455,21.3,,
6.545,440,21.0,,
6.560,473,21.7,,
6.575,526,22.9,,
6.590,505,22.5,,
6.605,451,21.2,,
6.620,461,21.5,,
6.635,480,21.9,,
6.650,502,22.4,,
6.665,474,21.8,,
6.680,471,21.7,,
6.695,457,21.4,,
6.710,442,21.0,,
6.725,481,21.9,,
6.740,440,21.0,,
6.755,456,21.4,,
6.770,452,21.3,,
6.785,458,21.4,,
6.800,444,21.1,,
6.815,474,21.8,,
6.830,493,22.2,,
6.845,461,21.5,,
6.860,434,20.8,,
6.875,469,21.7,,
6.890,481,21.9,,
6.905,436,20.9,,
6.920,425,20.6,,
6.935,468,21.6,,
6.950,466,21.6,,
6.965,460,21.4,,
6.980,436,20.9,,
6.995,449,21.2,,
7.010,474,21.8,,
7.025,468,21.6,,
7.040,456,21.4,,
7.055,467,21.6,,
7.070,429,20.7,,
7.085,469,21.7,,
7.100,479,21.9,,
7.115,486,22.0,,
7.130,480,21.9,,
7.145,478,21.9,,
7.160,467,21.6,,
7.175,467,21.6,,
7.190,476,21.8,,
7.205,473,21.7,,
7.220,464,21.5,,
7.235,448,21.2,,
7.250,446,21.1,,
7.265,422,20.5,,
7.280,447,21.1,,
7.295,468,21.6,,
7.310,420,20.5,,
7.325,433,20.8,,
7.340,482,22.0,,
7.355,483,22.0,,
7.370,475,21.8,,
7.385,464,21.5,,
7.400,455,21.3,,
7.415,483,22.0,,
7.430,494,22.2,,
7.445,467,21.6,,
7.460,437,20.9,,
